action_no,action_id,action_name,default_time,user_type,prev_dependent
0,,move_stack,,robot,1
1,,move_stack,,robot,1
2,,move_stack,,robot,1
3,,move_stack,,robot,1
4,,move_stack,,robot,1
5,,move_stack,,robot,1
6,,move_stack,,robot,1
7,,move_stack,,robot,1
8,,move_stack,,robot,1
9,,move_stack,,robot,1
10,,move_stack,,robot,1
